key,0
#,Description
offset,0
int32,str
0,ダミー
1,1-49級迷宮
2,50級迷宮
3,51-59級迷宮
4,60級迷宮
5,死者宮殿
6,紛爭前線
7,群狼盛宴
8,61-69級迷宮
9,70級迷宮
10,寶物庫
11,烈羽爭鋒
12,深層迷宮
13,71-79級迷宮
14,80級迷宮
15,81-89級迷宮
16,90級迷宮
17,水晶衝突
18,巴哈姆特大迷宮 邂逅之章1-5
19,巴哈姆特大迷宮 入侵之章1-4
20,巴哈姆特大迷宮 真源之章1-4
21,亞歷山大機神城 啟動之章1-4
22,亞歷山大機神城 律動之章1-4
23,亞歷山大機神城 天動之章1-4
24,歐米茄時空狹縫 德爾塔幻境1-4
25,歐米茄時空狹縫 西格瑪幻境1-4
26,歐米茄時空狹縫 阿爾法幻境1-4
27,伊甸希望樂園 覺醒之章1-2
28,伊甸希望樂園 覺醒之章3-4
29,伊甸希望樂園 共鳴之章1-2
30,伊甸希望樂園 共鳴之章3-4
31,伊甸希望樂園 再生之章1-2
32,伊甸希望樂園 再生之章3-4
33,萬魔殿 邊境之獄1-2
34,萬魔殿 邊境之獄3-4
35,
36,萬魔殿 煉淨之獄1-2
37,萬魔殿 煉淨之獄3-4
38,萬魔殿 荒天之獄1-2
39,萬魔殿 荒天之獄3-4
40,伊甸希望樂園 覺醒之章1-4
41,伊甸希望樂園 共鳴之章1-4
42,伊甸希望樂園 再生之章1-4
43,團隊任務（重生之境）
44,團隊任務（蒼穹之禁城）
45,團隊任務（紅蓮之狂潮）
46,團隊任務（暗影之逆焰）
47,團隊任務（曉月之終途）
48,91-99級迷宮
49,100級迷宮
50,練級副本 Lv1-49
51,練級副本 Lv51-79
52,練級副本 Lv81-99
53,拾級副本 Lv50-60
54,拾級副本 Lv70-80
55,拾級副本 Lv90
56,討伐殲滅戰 Lv50-60
57,討伐殲滅戰 Lv70-100
58,團隊大型 Lv50-60
59,團隊大型 Lv70-90
60,普通大型 Lv50-60
61,普通大型 Lv70-100
62,萬魔殿 邊境篇1-4
63,萬魔殿 煉獄篇1-4
64,萬魔殿 天獄篇1-4
65,阿卡迪亞 輕量級1-2
66,阿卡迪亞 輕量級3-4
